ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
258120_at	0.8049486	5.84E-01	-0.55340057	-6.115665	-0.13281905	AT3G14730	pentatricopeptide repeat-containing protein
266763_at	0.8050092	5.85E-01	-0.55328295	-6.11573	-0.13283429	SPL1	squamosa promoter-binding-like protein 1
245652_at	0.8050169	5.85E-01	0.55318413	-6.115784	-0.13284434	AT4G13960	putative F-box/LRR-repeat protein
246203_at	0.8050169	5.85E-01	0.55313422	-6.115811	-0.13290594	AT4G36610	"hydrolase, alpha/beta fold family protein"
251793_at	0.8050169	5.85E-01	0.55311725	-6.11582	-0.13300267	AT3G55580	regulator of chromosome condensation repeat-containing protein
262206_at	0.8050464	5.85E-01	0.55303307	-6.115866	-0.13307308	AT2G01090	ubiquinol-cytochrome c reductase hinge protein
246698_at	0.8051332	5.85E-01	0.5528873	-6.115946	-0.1330962		
249906_at	0.805226	5.85E-01	0.55273502	-6.116029	-0.13309918	AT5G22730	FBD-associated F-box protein
267373_at	0.8052577	5.85E-01	-0.55258527	-6.116111	-0.13320177	CID7	protein CTC-interacting domain 7
252393_at	0.8052577	5.85E-01	-0.55255408	-6.116128	-0.13325131	AT3G47910	ubiquitin carboxyl-terminal hydrolase-related protein
254274_at	0.8052577	5.85E-01	0.55254355	-6.116134	-0.13327426	AT4G22770	AT hook motif DNA-binding family protein
261275_at	0.805345	5.85E-01	0.55236312	-6.116232	-0.13333838	MLO14	MLO-like protein 14
253461_at	0.805345	5.85E-01	0.55234476	-6.116242	-0.13338728	CYP96A2	"cytochrome P450, family 96, subfamily A, polypeptide 2"
262936_at	0.8058813	5.86E-01	0.5517156	-6.116586	-0.13341122	CHX2	cation/H(+) antiporter 2
252694_at	0.8059829	5.86E-01	-0.55155382	-6.116674	-0.13343186	AT3G43630	protein nodulin-like3
258373_at	0.8061082	5.86E-01	-0.55133235	-6.116795	-0.13343449	PAE2	20S proteasome alpha subunit E2
256750_at	0.8061082	5.86E-01	0.55131421	-6.116805	-0.13346891	AT3G27150	MIR2111-5p target protein
252171_at	0.806119	5.86E-01	-0.5512123	-6.11686	-0.1335199	AT3G50590	transducin/WD40 domain-containing protein
259769_at	0.806119	5.86E-01	-0.55119766	-6.116868	-0.13354511	ML5	MEI2-like protein 5
257221_at	0.8063767	5.86E-01	0.5508681	-6.117048	-0.13355038	MYB0	trichome differentiation protein GL1
250791_at	0.8063809	5.86E-01	0.5508111	-6.117079	-0.13357165	AL1	alfin-like 1 protein
255504_at	0.806491	5.86E-01	-0.55059423	-6.117197	-0.133581	AT4G02200	protein dehydration-INDUCED 19-5
256391_at	0.806491	5.86E-01	0.55058781	-6.1172	-0.13358104	AT3G06090	hypothetical protein
249246_at	0.806495	5.86E-01	0.55053101	-6.117231	-0.13362289	AT5G42290	transcription activator-related protein
249800_at	0.8065584	5.87E-01	0.55039513	-6.117305	-0.13362431	MTN3	bidirectional sugar transporter SWEET12
246785_at	0.8065584	5.87E-01	-0.55035788	-6.117325	-0.13369498	GSH2	glutathione synthetase 2
262102_at	0.806612	5.87E-01	0.55021381	-6.117404	-0.13372628	CUL2	cullin 2
246938_at	0.806612	5.87E-01	0.55019144	-6.117416	-0.13373365	CYCA2;1	cyclin a2;1
254168_at	0.806612	5.87E-01	-0.55014283	-6.117442	-0.1337955	MLO13	MLO-like protein 13
252205_at	0.8068625	5.87E-01	0.54982109	-6.117617	-0.1338787	AT3G50350	hypothetical protein
246948_at	0.8069373	5.87E-01	-0.54968821	-6.11769	-0.1339212	CYP71B12	cytochrome P450 71B12
263731_at	0.8069735	5.87E-01	-0.54959682	-6.117739	-0.13393754	AT1G59970	Matrixin family protein
264035_at	0.8069939	5.87E-01	-0.5494559	-6.117816	-0.13398606	AT2G03630	hypothetical protein
250442_at	0.8069939	5.87E-01	0.54943634	-6.117826	-0.1339923	MSL2	mechanosensitive ion channel protein 2
258776_at	0.8069939	5.87E-01	0.54941748	-6.117837	-0.13404029	AT3G11830	TCP-1/cpn60 chaperonin family protein
